bd_Start_time,bd_FC_Before_Start,station_number,daily_sum,station_name
4/30/2015,-33,14015,0,DARWIN AIRPORT
5/1/2015,-9,14015,0,DARWIN AIRPORT
5/2/2015,15,14015,0,DARWIN AIRPORT
5/3/2015,39,14015,0,DARWIN AIRPORT
5/4/2015,63,14015,0,DARWIN AIRPORT
5/5/2015,87,14015,0,DARWIN AIRPORT
5/6/2015,111,14015,0,DARWIN AIRPORT
5/7/2015,135,14015,0,DARWIN AIRPORT
5/8/2015,159,14015,0,DARWIN AIRPORT
4/30/2015,-33,17126,0,MARREE AERO
5/1/2015,-9,17126,0,MARREE AERO
5/2/2015,15,17126,0,MARREE AERO
5/3/2015,39,17126,0,MARREE AERO
5/4/2015,63,17126,0,MARREE AERO
5/5/2015,87,17126,0,MARREE AERO
5/6/2015,111,17126,0,MARREE AERO
5/7/2015,135,17126,0,MARREE AERO
5/8/2015,159,17126,0,MARREE AERO
4/30/2015,-33,32040,0,TOWNSVILLE AERO
5/1/2015,-9,32040,0,TOWNSVILLE AERO
5/2/2015,15,32040,0,TOWNSVILLE AERO
5/3/2015,39,32040,0,TOWNSVILLE AERO
5/4/2015,63,32040,0,TOWNSVILLE AERO
5/5/2015,87,32040,0,TOWNSVILLE AERO
5/6/2015,111,32040,0,TOWNSVILLE AERO
5/7/2015,135,32040,0,TOWNSVILLE AERO
5/8/2015,159,32040,0,TOWNSVILLE AERO
5/1/2015,-33,14015,0,DARWIN AIRPORT
5/2/2015,-9,14015,0,DARWIN AIRPORT
5/3/2015,15,14015,0,DARWIN AIRPORT
5/4/2015,39,14015,0,DARWIN AIRPORT
5/5/2015,63,14015,0,DARWIN AIRPORT
5/6/2015,87,14015,0,DARWIN AIRPORT
5/7/2015,111,14015,0,DARWIN AIRPORT
5/8/2015,135,14015,0,DARWIN AIRPORT
5/9/2015,159,14015,0,DARWIN AIRPORT
5/1/2015,-33,17126,0,MARREE AERO
5/2/2015,-9,17126,0,MARREE AERO
5/3/2015,15,17126,0,MARREE AERO
5/4/2015,39,17126,0,MARREE AERO
5/5/2015,63,17126,0,MARREE AERO
